Source,Target,Type,Weight
5,1,undirected,1
6,1,undirected,1
7,1,undirected,1
8,1,undirected,10
9,1,undirected,1
10,1,undirected,3
11,1,undirected,1
12,1,undirected,1
13,1,undirected,1
14,1,undirected,1
15,1,undirected,1
16,1,undirected,1
17,1,undirected,1
18,1,undirected,1
19,1,undirected,1
19,3,undirected,1
19,4,undirected,1
20,1,undirected,1
21,1,undirected,1
22,1,undirected,1
23,1,undirected,1
24,1,undirected,1
25,1,undirected,1
26,1,undirected,2
27,1,undirected,1
28,1,undirected,1
52,1,undirected,1
29,2,undirected,2
30,2,undirected,1
31,2,undirected,7
32,2,undirected,1
33,2,undirected,1
34,2,undirected,1
35,2,undirected,1
36,2,undirected,2
37,2,undirected,2
38,2,undirected,1
39,2,undirected,1
40,2,undirected,1
41,2,undirected,1
42,2,undirected,2
43,2,undirected,1
44,2,undirected,1
45,2,undirected,1
46,2,undirected,2
47,2,undirected,1
48,2,undirected,2
49,2,undirected,1
50,2,undirected,1
51,2,undirected,1
53,3,undirected,3
54,3,undirected,2
55,3,undirected,1
56,3,undirected,1
57,3,undirected,1
58,3,undirected,1
59,3,undirected,1
60,3,undirected,1
61,4,undirected,2
62,4,undirected,2
63,4,undirected,1
64,4,undirected,2
65,4,undirected,1
66,4,undirected,2
67,4,undirected,1
