Id,Label,Class,Notes
1,Texta,1,
2,Nazar,1,
3,Monobrother,1,
4,Yasmo,1,
5,CRB,1,
6,Waiszbrohd,1,
7,Boomer,1,
8,Blumentopf,2,
9,Markee,1,
10,Oh-Vo,1,
11,Mario 23,0,
12,Akil,3,
13,Tariq,3,
14,Click the Supahlatin,3,
15,Holunder,1,
16,Pahel/RAG,2,
17,Peter Lang,1,
18,Shy,0,
19,Def Ill,1,
20,Louie Austen,1,
21,Sektion Kuchikaeschtli,2,
22,One II Many,3,
23,Nikitaman,0,
24,Wenzel Washington,0,
25,Attwenger,1,
26,Average,1,
27,Soprano,3.5,
28,Lylit,0,
29,Godsilla,2,
30,Tareec,2,
31,RAF Camora,1,
32,Emiriz,0,
33,Ezai,0,
34,Deso Dogg,2,
35,MC Bogy,2,
36,Jonesmann,2,
37,Summer Cem,2,
38,Chakuza,1,
39,Saad,2,
40,Ozan,0,
41,Haftbefehl,2,
42,Manuellsen,2,
43,Konshens,3.2,
44,Farid Bang,2,
45,Motrip,2,
46,Sido,2,
47,Gary Howard,0,
48,Projekt Elias,0,
49,(Falco),1,
50,Celo & Abdi,2,
51,Mark Forster,2,
52,Fiva,2,
53,Saebjul,1,
54,Digga Mindz,1,
55,5Finga,0,
56,Stixx,0,
57,Wienzeile,1,
58,Kardinal Kaos,0,
59,Kreiml,1,
60,Phil Fin,1,
61,Mieze Medusa,1,
62,Selbstlaut,0,
63,Milkman,0,
64,Bacchus,1,
65,P.tah,0,
66,Giga Ritsch,0,
67,Jahson the Scientist,0,
68,Loco,0,
69,DJ Takonedoe,1,
70,B Rah,0,
71,Dope D,0,
72,DavidPe,0,
73,Manuva,1,
74,MC Rene,2,
75,Mike,0,
76,Fettes Brot,2,
77,Esther,0,
78,Clueso,2,
79,Johanna,0,
80,E-la,0,
81,Janna,0,
82,Pohlmann,0,
83,Johnny Popcorn,0,
84,Guenther Sigl,0,
85,Sportfreunde Stiller,2,
86,Peter Hadar,0,
87,Olexesh,0,
88,Andreas Bourani,2,
89,Dillon Cooper,3.1,
90,Adel Tawil,0,
91,Tony D.,0,
92,Estikay,0,
93,Adesse,0,
94,Helge Schneider,2,
95,Genetikk,2,
96,Marius Mueller-Westernhagen,2,
97,K.I.Z.,2,
98,J-Luv,0,
99,G-Hot,0,
100,Samy Deluxe,2,
101,Harris,0,
102,Bintia,0,
103,Doreen,2,
104,Alpa Gun,2,
105,Die Sekte,0,
106,Azad,2,
107,Kitty Kat,2,
108,Fler,2,
109,Shizoe,2,
110,Greckoe,2,
111,B-Tight,2,
112,Massiv,0,
113,Peter Fox,2,
114,Mesut,0,
115,MOK,0,
116,Olli Banjo,0,
117,Fuhrmann und Bendt,0,
118,D-Bo,2,
119,Joshi Mizu,0,
120,"Marc Reis (Sonikk Boom, Sprachtot)",2,
121,Melo-Dee,0,
122,Marteria,2,
123,Sizzla,3.2,
124,Prinz Pi,2,
125,Vega,2,
126,Diam's,3.5,
127,Lea Castel,3.5,
128,Mino,0,
129,Le Rat Luciano,3.5,
130,Psy 4 de la rime,3.5,
131,Blacko,3.5,
132,Constantine Windaman,0,
133,Indila,3.5,
134,R.E.D.K.,0,
135,Awa Imani,0,
136,Amadou et Mariam,3,Mali
137,Lary,0,
138,K-rlos,0,
139,Makiavel,0,
140,Fransisco,0,
141,Method Man,3.1,
142,Alonzo,0,
143,Yak et Degom,0,
144,Bushido,2,
145,Evelyn,0,
146,Nyze,2,
147,Bizzy Montana,2,
148,Lenny Wolf,2,
149,Max Grubmueller,0,
150,Sera Finale,2,
151,DJ Stickle,1,
152,Flip,1,
153,Skero,1,
154,Laima,1,
155,Huckey,1,
156,Aphroe,2,
157,Chosen Few,0,
158,Pyranja,2,
159,5/8erl in Ehr'n,1,
160,Peter Balboa,2,
161,DJ Phekt,1,
162,Bernadette la Hengst,2,
163,Alligator Man,0,
164,Kristoff Krane,3.1,
165,DJ Chrisfader,0,
166,DJ Hooray,0,
167,Fozhowi,0,
168,DJ Url,1,
169,Cobane,0,
